Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,2014/1/1 00:00,2014,1,1,0,173,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 01:00,2014,1,1,1,177,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 02:00,2014,1,1,2,166,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 03:00,2014,1,1,3,163,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 04:00,2014,1,1,4,164,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 05:00,2014,1,1,5,158,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 06:00,2014,1,1,6,154,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 07:00,2014,1,1,7,154,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 08:00,2014,1,1,8,156,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 09:00,2014,1,1,9,158,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 10:00,2014,1,1,10,154,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 11:00,2014,1,1,11,161,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 12:00,2014,1,1,12,162,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 13:00,2014,1,1,13,154,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 14:00,2014,1,1,14,153,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 15:00,2014,1,1,15,153,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 16:00,2014,1,1,16,157,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 17:00,2014,1,1,17,188,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 18:00,2014,1,1,18,191,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 19:00,2014,1,1,19,210,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 20:00,2014,1,1,20,210,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 21:00,2014,1,1,21,194,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 22:00,2014,1,1,22,198,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/1 23:00,2014,1,1,23,189,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 00:00,2014,1,2,0,187,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 01:00,2014,1,2,1,182,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 02:00,2014,1,2,2,171,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 03:00,2014,1,2,3,188,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 04:00,2014,1,2,4,186,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 05:00,2014,1,2,5,189,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 06:00,2014,1,2,6,190,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 07:00,2014,1,2,7,184,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 08:00,2014,1,2,8,194,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 09:00,2014,1,2,9,191,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 10:00,2014,1,2,10,195,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 11:00,2014,1,2,11,203,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 12:00,2014,1,2,12,209,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 13:00,2014,1,2,13,223,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 14:00,2014,1,2,14,209,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 15:00,2014,1,2,15,191,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 16:00,2014,1,2,16,180,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 17:00,2014,1,2,17,178,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 18:00,2014,1,2,18,177,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 19:00,2014,1,2,19,182,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 20:00,2014,1,2,20,185,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 21:00,2014,1,2,21,207,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 22:00,2014,1,2,22,237,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/2 23:00,2014,1,2,23,238,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 00:00,2014,1,3,0,229,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 01:00,2014,1,3,1,238,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 02:00,2014,1,3,2,227,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 03:00,2014,1,3,3,223,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 04:00,2014,1,3,4,211,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 05:00,2014,1,3,5,193,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 06:00,2014,1,3,6,178,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 07:00,2014,1,3,7,170,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 08:00,2014,1,3,8,179,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 09:00,2014,1,3,9,190,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 10:00,2014,1,3,10,207,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 11:00,2014,1,3,11,197,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 12:00,2014,1,3,12,143,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 13:00,2014,1,3,13,102,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 14:00,2014,1,3,14,73,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 15:00,2014,1,3,15,78,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 16:00,2014,1,3,16,65,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 17:00,2014,1,3,17,65,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 18:00,2014,1,3,18,78,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 19:00,2014,1,3,19,95,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 20:00,2014,1,3,20,114,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 21:00,2014,1,3,21,111,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 22:00,2014,1,3,22,117,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/3 23:00,2014,1,3,23,137,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 00:00,2014,1,4,0,131,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 01:00,2014,1,4,1,140,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 02:00,2014,1,4,2,152,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 03:00,2014,1,4,3,169,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 04:00,2014,1,4,4,143,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 05:00,2014,1,4,5,155,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 06:00,2014,1,4,6,158,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 07:00,2014,1,4,7,153,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 08:00,2014,1,4,8,158,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 09:00,2014,1,4,9,158,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 10:00,2014,1,4,10,149,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 11:00,2014,1,4,11,156,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 12:00,2014,1,4,12,119,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 13:00,2014,1,4,13,93,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 14:00,2014,1,4,14,70,电/m超1 Hr,Valid,
Chengdu,PM2.5,2014/1/4 15:00,2014,1,4,15,77,电/m超1 Hr,Valid,
