column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2013/1/1 00:00,2013,1,1,0,83,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 01:00,2013,1,1,1,95,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 02:00,2013,1,1,2,94,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 03:00,2013,1,1,3,55,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 04:00,2013,1,1,4,60,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 05:00,2013,1,1,5,41,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 06:00,2013,1,1,6,42,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 07:00,2013,1,1,7,40,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 08:00,2013,1,1,8,40,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 09:00,2013,1,1,9,35,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 10:00,2013,1,1,10,42,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 11:00,2013,1,1,11,48,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 12:00,2013,1,1,12,63,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 13:00,2013,1,1,13,62,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 14:00,2013,1,1,14,51,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 15:00,2013,1,1,15,49,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 16:00,2013,1,1,16,57,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 17:00,2013,1,1,17,60,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 18:00,2013,1,1,18,61,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 19:00,2013,1,1,19,72,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 20:00,2013,1,1,20,53,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 21:00,2013,1,1,21,50,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 22:00,2013,1,1,22,54,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/1 23:00,2013,1,1,23,63,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 00:00,2013,1,2,0,55,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 01:00,2013,1,2,1,51,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 02:00,2013,1,2,2,66,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 03:00,2013,1,2,3,65,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 04:00,2013,1,2,4,63,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 05:00,2013,1,2,5,59,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 06:00,2013,1,2,6,68,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 07:00,2013,1,2,7,66,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 08:00,2013,1,2,8,69,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 09:00,2013,1,2,9,69,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 10:00,2013,1,2,10,76,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 11:00,2013,1,2,11,86,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 12:00,2013,1,2,12,77,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 13:00,2013,1,2,13,82,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 14:00,2013,1,2,14,69,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 15:00,2013,1,2,15,62,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 16:00,2013,1,2,16,59,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 17:00,2013,1,2,17,56,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 18:00,2013,1,2,18,72,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 19:00,2013,1,2,19,78,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 20:00,2013,1,2,20,89,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 21:00,2013,1,2,21,92,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 22:00,2013,1,2,22,92,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/2 23:00,2013,1,2,23,61,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 00:00,2013,1,3,0,66,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 01:00,2013,1,3,1,62,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 02:00,2013,1,3,2,53,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 03:00,2013,1,3,3,49,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 04:00,2013,1,3,4,49,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 05:00,2013,1,3,5,85,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 06:00,2013,1,3,6,133,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 07:00,2013,1,3,7,48,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 08:00,2013,1,3,8,43,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 09:00,2013,1,3,9,58,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 10:00,2013,1,3,10,61,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 11:00,2013,1,3,11,67,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 12:00,2013,1,3,12,64,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 13:00,2013,1,3,13,58,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 14:00,2013,1,3,14,49,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 15:00,2013,1,3,15,46,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 16:00,2013,1,3,16,48,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 17:00,2013,1,3,17,45,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 18:00,2013,1,3,18,46,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 19:00,2013,1,3,19,55,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 20:00,2013,1,3,20,49,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 21:00,2013,1,3,21,56,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 22:00,2013,1,3,22,48,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/3 23:00,2013,1,3,23,43,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 00:00,2013,1,4,0,37,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 01:00,2013,1,4,1,36,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 02:00,2013,1,4,2,39,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 03:00,2013,1,4,3,29,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 04:00,2013,1,4,4,30,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 05:00,2013,1,4,5,31,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 06:00,2013,1,4,6,33,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 07:00,2013,1,4,7,33,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 08:00,2013,1,4,8,30,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 09:00,2013,1,4,9,26,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 10:00,2013,1,4,10,26,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 11:00,2013,1,4,11,33,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 12:00,2013,1,4,12,37,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 13:00,2013,1,4,13,39,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 14:00,2013,1,4,14,32,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 15:00,2013,1,4,15,36,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 16:00,2013,1,4,16,47,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 17:00,2013,1,4,17,38,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 18:00,2013,1,4,18,34,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 19:00,2013,1,4,19,42,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 20:00,2013,1,4,20,42,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 21:00,2013,1,4,21,37,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 22:00,2013,1,4,22,30,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/4 23:00,2013,1,4,23,29,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 00:00,2013,1,5,0,24,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 01:00,2013,1,5,1,27,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 02:00,2013,1,5,2,23,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 03:00,2013,1,5,3,19,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 04:00,2013,1,5,4,19,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 05:00,2013,1,5,5,17,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 06:00,2013,1,5,6,19,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 07:00,2013,1,5,7,19,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 08:00,2013,1,5,8,20,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 09:00,2013,1,5,9,18,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 10:00,2013,1,5,10,29,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 11:00,2013,1,5,11,33,"电/m尝,1 Hr""",Valid,
Guangzhou,PM2.5,2013/1/5 12:00,2013,1,5,12,34,"电/m尝,1 Hr""",Valid,
