column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2012/1/1 00:00,2012,1,1,0,112,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 01:00,2012,1,1,1,113,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 02:00,2012,1,1,2,115,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 03:00,2012,1,1,3,144,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 04:00,2012,1,1,4,152,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 05:00,2012,1,1,5,138,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 06:00,2012,1,1,6,136,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 07:00,2012,1,1,7,133,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 08:00,2012,1,1,8,134,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 09:00,2012,1,1,9,131,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 10:00,2012,1,1,10,100,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 11:00,2012,1,1,11,98,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 12:00,2012,1,1,12,68,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 13:00,2012,1,1,13,71,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 14:00,2012,1,1,14,78,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 15:00,2012,1,1,15,85,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 16:00,2012,1,1,16,96,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 17:00,2012,1,1,17,143,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 18:00,2012,1,1,18,151,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 19:00,2012,1,1,19,162,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 20:00,2012,1,1,20,113,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 21:00,2012,1,1,21,73,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 22:00,2012,1,1,22,64,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/1 23:00,2012,1,1,23,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 00:00,2012,1,2,0,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 01:00,2012,1,2,1,31,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 02:00,2012,1,2,2,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 03:00,2012,1,2,3,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 04:00,2012,1,2,4,37,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 05:00,2012,1,2,5,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 06:00,2012,1,2,6,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 07:00,2012,1,2,7,58,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 08:00,2012,1,2,8,68,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 09:00,2012,1,2,9,77,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 10:00,2012,1,2,10,79,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 11:00,2012,1,2,11,55,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 12:00,2012,1,2,12,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 13:00,2012,1,2,13,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 14:00,2012,1,2,14,48,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 15:00,2012,1,2,15,50,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 16:00,2012,1,2,16,57,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 17:00,2012,1,2,17,65,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 18:00,2012,1,2,18,63,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 19:00,2012,1,2,19,54,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 20:00,2012,1,2,20,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 21:00,2012,1,2,21,46,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 22:00,2012,1,2,22,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/2 23:00,2012,1,2,23,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 00:00,2012,1,3,0,43,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 01:00,2012,1,3,1,44,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 02:00,2012,1,3,2,39,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 03:00,2012,1,3,3,40,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 04:00,2012,1,3,4,42,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 05:00,2012,1,3,5,38,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 06:00,2012,1,3,6,52,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 07:00,2012,1,3,7,58,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 08:00,2012,1,3,8,54,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 09:00,2012,1,3,9,62,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 10:00,2012,1,3,10,69,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 11:00,2012,1,3,11,85,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 12:00,2012,1,3,12,124,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 13:00,2012,1,3,13,144,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 14:00,2012,1,3,14,219,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 15:00,2012,1,3,15,194,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 16:00,2012,1,3,16,123,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 17:00,2012,1,3,17,86,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 18:00,2012,1,3,18,85,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 19:00,2012,1,3,19,63,"电/m尝,1 Hr""",Valid,
Shanghai,PM2.5,2012/1/3 20:00,2012,1,3,20,58,"电/m尝,1 Hr""",Valid,
