column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12
A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,2014/1/1 00:00,2014,1,1,0,16,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 01:00,2014,1,1,1,18,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 02:00,2014,1,1,2,28,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 03:00,2014,1,1,3,31,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 04:00,2014,1,1,4,21,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 05:00,2014,1,1,5,31,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 06:00,2014,1,1,6,31,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 07:00,2014,1,1,7,36,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 08:00,2014,1,1,8,40,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 09:00,2014,1,1,9,72,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 10:00,2014,1,1,10,78,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 11:00,2014,1,1,11,104,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 12:00,2014,1,1,12,33,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 13:00,2014,1,1,13,14,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 14:00,2014,1,1,14,27,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 15:00,2014,1,1,15,19,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 16:00,2014,1,1,16,31,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 17:00,2014,1,1,17,28,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 18:00,2014,1,1,18,28,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 19:00,2014,1,1,19,33,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 20:00,2014,1,1,20,32,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 21:00,2014,1,1,21,32,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 22:00,2014,1,1,22,24,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/1 23:00,2014,1,1,23,23,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 00:00,2014,1,2,0,21,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 01:00,2014,1,2,1,23,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 02:00,2014,1,2,2,26,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 03:00,2014,1,2,3,27,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 04:00,2014,1,2,4,27,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 05:00,2014,1,2,5,32,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 06:00,2014,1,2,6,43,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 08:00,2014,1,2,8,108,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 09:00,2014,1,2,9,69,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 10:00,2014,1,2,10,66,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 11:00,2014,1,2,11,39,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 12:00,2014,1,2,12,35,"电/m尝,1 Hr""",Valid,
Shenyang,PM2.5,2014/1/2 13:00,2014,1,2,13,48,"电/m尝,1 Hr""",Valid,
